source_file,batch_index,group_index,subject,signal_type,annotation_type,start_time,end_time,width_ms,baseline_time,baseline_value,peak_time,peak_value,amplitude_mv,note
20260323111542.npy,0,0,母亲,MECG_clean,P波自动,0.232,0.296,64.0,0.232,-0.026099491864442825,0.256,0.014765163883566856,0.04086465574800968,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,QRS波自动,0.34,0.416,76.0,0.34,-0.0748918280005455,0.372,0.8107279539108276,0.8856197819113731,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,T波自动,0.504,0.668,164.0,0.504,0.05019757151603699,0.588,0.2207251489162445,0.17052757740020752,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,P波自动,0.9,0.992,92.0,0.9,-0.08910216391086578,0.96,-0.01171870157122612,0.07738346233963966,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,QRS波自动,1.044,1.12,76.0,1.044,-0.06585352122783661,1.076,0.807277262210846,0.8731307834386826,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,T波自动,1.168,1.368,200.0,1.168,-0.07154025137424469,1.292,0.18153806030750275,0.25307831168174744,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,P波自动,1.604,1.696,92.0,1.604,-0.06401777267456055,1.66,0.020746354013681412,0.08476412668824196,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,QRS波自动,1.744,1.82,76.0,1.744,-0.05444997921586037,1.776,0.865147054195404,0.9195970334112644,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,T波自动,1.896,2.076,180.0,1.896,-0.029681432992219925,1.996,0.21215111017227173,0.24183254316449165,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,P波自动,2.312,2.38,68.0,2.312,-0.03313787281513214,2.34,0.014384930953383446,0.04752280376851559,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,QRS波自动,2.42,2.496,76.0,2.42,-0.05517391487956047,2.452,0.8764725923538208,0.9316465072333813,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,T波自动,2.596,2.728,132.0,2.596,0.006866449024528265,2.672,0.18119235336780548,0.17432590434327722,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,P波自动,2.988,3.052,64.0,2.988,-0.0558929406106472,3.012,-0.026373116299510002,0.0295198243111372,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,QRS波自动,3.092,3.168,76.0,3.092,-0.11270114779472351,3.124,0.7841144800186157,0.8968156278133392,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,T波自动,3.244,3.416,172.0,3.244,-0.010425817221403122,3.344,0.20390987396240234,0.21433569118380547,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,P波自动,3.636,3.716,80.0,3.636,-0.0757640153169632,3.684,-0.010234322398900986,0.06552969291806221,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,QRS波自动,3.768,3.844,76.0,3.768,-0.07786811888217926,3.8,0.816002368927002,0.8938704878091812,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,T波自动,3.932,4.092,160.0,3.932,0.02420487068593502,4.012,0.2046317756175995,0.18042690493166447,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,P波自动,4.328,4.396,68.0,4.328,-0.04429091513156891,4.356,-0.016092970967292786,0.028197944164276123,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,QRS波自动,4.436,4.512,76.0,4.436,-0.08109908550977707,4.468,0.7730396389961243,0.8541387245059013,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,T波自动,4.6,4.768,168.0,4.6,-0.01366895530372858,4.684,0.18414287269115448,0.19781182799488306,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,P波自动,4.984,5.06,76.0,4.984,-0.06428565829992294,5.032,0.002781397895887494,0.06706705619581044,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,QRS波自动,5.104,5.176,72.0,5.104,-0.06006874144077301,5.132,0.8385286331176758,0.8985973745584488,自动标记，建议人工复核
20260323111542.npy,0,0,母亲,MECG_clean,T波自动,5.26,5.432,172.0,5.26,0.022035446017980576,5.352,0.2607846260070801,0.2387491799890995,自动标记，建议人工复核
